package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
com.example.designs.atoms.Button,Button,1,1,1,0,0,0,1,0,2,3,
com.example.designs.atoms.IconButton,IconButton,1,1,1,0,0,0,1,0,2,2,
com.example.designs.atoms.rememberInputTypeState,rememberInputTypeState,1,0,0,0,0,0,0,0,1,2,
com.example.designs.atoms.Input,Input,1,1,1,0,0,0,1,0,2,6,
com.example.designs.atoms.ProvideInputSpecs,ProvideInputSpecs,1,1,1,0,0,0,0,0,1,2,
com.example.designs.atoms.basic.Card,Card,1,1,1,0,0,0,0,0,1,2,
com.example.designs.atoms.basic.Icon,Icon,1,0,1,0,0,0,0,0,1,2,
com.example.designs.atoms.basic.MyIcons.<get-favorite>,<get-favorite>,1,0,0,0,0,0,0,0,1,1,
com.example.designs.atoms.basic.MyIcons.<get-favorite_border>,<get-favorite_border>,1,0,0,0,0,0,0,0,1,1,
com.example.designs.atoms.basic.MyIcons.<get-error>,<get-error>,1,0,0,0,0,0,0,0,1,1,
com.example.designs.atoms.basic.Surface,Surface,1,1,1,0,0,0,1,0,2,2,
com.example.designs.atoms.basic.Text,Text,1,1,1,0,0,0,1,0,3,2,
com.example.designs.molecules.InputGroup,InputGroup,1,1,1,0,0,0,1,0,4,5,
com.example.designs.molecules.Snackbar,Snackbar,1,1,1,0,0,0,1,0,2,4,
com.example.designs.organisms.DetailedCard,DetailedCard,1,1,1,0,0,0,0,0,1,1,
com.example.designs.theme.DesignSystemTheme,DesignSystemTheme,1,1,1,0,0,0,1,0,2,2,
com.example.designs.theme.DesignSystemTheme.<get-colorsScheme>,<get-colorsScheme>,1,0,0,1,0,0,0,0,1,1,
com.example.designs.theme.DesignSystemTheme.<get-typography>,<get-typography>,1,0,0,1,0,0,0,0,1,1,
com.example.designs.theme.DesignSystemTheme.<get-shapes>,<get-shapes>,1,0,0,1,0,0,0,0,1,1,
